08-19T04:08:47,1503115727,3587111,50,15
08-19T04:09:27,1503115767,28087111,50,15
08-19T04:10:07,1503115807,14087111,50,15
08-19T04:10:47,1503115847,7087111,50,15
08-19T04:11:27,1503115887,3587111,50,15
08-19T04:12:07,1503115927,28087111,50,15
08-19T04:12:47,1503115967,14087111,50,15
08-19T04:13:26,1503116006,7087111,50,15
08-19T04:14:06,1503116046,3587111,50,15
08-19T04:14:46,1503116086,28087111,50,15
08-19T04:15:26,1503116126,14087111,50,15
08-19T04:16:06,1503116166,7087111,50,15
08-19T04:16:46,1503116206,3587111,50,15
08-19T04:17:25,1503116245,28087111,50,15
08-19T04:18:05,1503116285,14087111,50,15
08-19T04:18:45,1503116325,7087111,50,15
08-19T04:19:25,1503116365,3587111,50,15
08-19T04:20:05,1503116405,28087111,50,15
08-19T04:20:45,1503116445,14087111,50,15
08-19T04:21:24,1503116484,7087111,50,15
08-19T04:22:04,1503116524,3587111,50,15
08-19T04:22:44,1503116564,28087111,50,15
08-19T04:23:24,1503116604,14087111,50,15
08-19T04:24:04,1503116644,7087111,50,15
08-19T04:24:44,1503116684,3587111,50,15
08-19T04:25:23,1503116723,28087111,50,15
